storm_id,storm_name,landfall_datetime,latitude,longitude,max_wind_kt
AL031903,UNNAMED,1903-09-11T23:01:20.857772,26.1022460492137,-80.10449209842739,74.88769753931518
AL031903,UNNAMED,1903-09-13T22:17:50.897101,30.015696570019706,-85.55784828500985,80.0
AL041904,UNNAMED,1904-10-17T07:51:43.823929,25.286217331351853,-80.28621733135185,70.0
AL041904,UNNAMED,1904-10-17T08:22:41.847830,25.33782910638298,-80.33782910638297,69.05427234042561
AL021906,UNNAMED,1906-06-17T02:50:44.092739,24.68970542109078,-81.11029457890922,70.0
AL021906,UNNAMED,1906-06-17T07:30:08.264575,25.15022957153754,-80.74977042846247,75.0
AL021906,UNNAMED,1906-06-17T07:36:50.822316,25.16141173099565,-80.73858826900435,75.0
AL081906,UNNAMED,1906-10-18T09:56:37.074303,24.688726350189288,-81.10704603113169,105.0
AL081906,UNNAMED,1906-10-18T11:29:45.418194,25.148784849464075,-80.80081010035728,105.0
AL081906,UNNAMED,1906-10-18T11:32:54.090954,25.16450757949071,-80.79032828033952,105.0
AL111909,UNNAMED,1909-10-11T18:31:07.507921,24.812396310072756,-80.81843672988246,99.1354129994403
AL111909,UNNAMED,1909-10-11T19:04:50.041222,24.93412285131957,-80.62180154786839,98.19905498984946
AL111909,UNNAMED,1909-10-11T19:16:07.211008,24.97487844029896,-80.55596559644015,97.88555045923879
AL051910,UNNAMED,1910-10-18T05:54:24.025638,26.484445631394088,-82.00311087372118,95.15554368605912
AL021911,UNNAMED,1911-08-11T21:49:49.236472,30.28727575982974,-87.48303434643965,70.0
AL011915,UNNAMED,1915-08-01T15:12:14.457577,28.560200799679585,-80.56700133279931,65.0
AL041915,UNNAMED,1915-09-04T09:43:18.602259,29.66767682981956,-85.34887335843378,80.0
AL041915,UNNAMED,1915-09-04T10:42:28.276159,29.924042167055095,-85.38831417954694,80.0
AL141916,UNNAMED,1916-10-18T13:44:54.795487,30.299421720729285,-87.41257228490885,95.0
AL041917,UNNAMED,1917-09-29T01:57:04.034357,30.395112065464012,-86.60733190180397,100.0
AL061921,UNNAMED,1921-10-25T19:46:10.070876,28.06541961983798,-82.83458038016202,100.0
AL061921,UNNAMED,1921-10-25T20:07:31.674109,28.112546503037382,-82.78118024544392,99.37267484813083
AL051924,UNNAMED,1924-09-15T13:25:10.167544,29.670974549222493,-85.35805090155502,75.0
AL051924,UNNAMED,1924-09-15T13:54:29.203826,29.695405608690812,-85.30918878261838,75.0
AL101924,UNNAMED,1924-10-21T02:47:27.421130,25.83581900627596,-81.51344794979234,76.41809937240423
AL011926,UNNAMED,1926-07-28T10:47:17.969163,29.078832476757754,-80.91824871513663,84.08756424316844
AL071926,UNNAMED,1926-09-18T12:02:26.655029,25.60407375081844,-80.30882646010662,124.76236453559105
AL071926,UNNAMED,1926-09-18T21:07:04.367567,26.511787987970337,-82.0676819819555,95.19646646617228
AL071926,UNNAMED,1926-09-18T22:08:26.339705,26.614064991793672,-82.22109748769051,96.90108319656126
AL071926,UNNAMED,1926-09-20T20:12:11.074512,30.3,-87.4101538126692,100.0
AL011928,UNNAMED,1928-08-08T07:29:28.200536,27.329470008932248,-80.22947000893225,83.52649955338757
AL041928,UNNAMED,1928-09-17T00:10:52.303287,26.71509961311729,-80.03321914885804,124.2450193441355
AL041928,UNNAMED,1928-09-18T08:32:11.902257,30.522773252628664,-81.44633604842281,69.2277325262866
AL021929,UNNAMED,1929-09-28T13:10:06.050253,25.003366945849024,-80.51683472924512,99.83165270754881
AL021929,UNNAMED,1929-09-28T14:19:08.703721,25.026381687337967,-80.63190843668983,98.68091563310173
AL021929,UNNAMED,1929-09-28T14:39:38.197457,25.033212208092486,-80.66606104046242,98.33938959537576
AL021929,UNNAMED,1929-09-28T18:30:57.174837,25.125794094958593,-81.06018622157005,94.57009841735679
AL021929,UNNAMED,1929-09-28T19:06:57.691051,25.15580126459719,-81.13020295072678,94.06997892338013
AL021929,UNNAMED,1929-10-01T03:13:57.477087,30.142447439307475,-85.75755256069253,70.0
AL051933,UNNAMED,1933-07-30T16:19:34.096277,27.1,-80.1326137854586,64.18465536353482
AL111933,UNNAMED,1933-09-04T04:46:27.568329,26.872918944310452,-80.05035139790249,110.0
AL031935,UNNAMED,1935-09-03T02:09:56.059294,24.812417901963084,-80.81241790196307,160.0
AL031935,UNNAMED,1935-09-04T21:20:13.645908,29.517140482909586,-83.4,85.0
AL031935,UNNAMED,1935-09-04T21:28:06.878254,29.5335721615854,-83.4,85.0
